iter	Logloss
0	0.6632756557
1	0.6309551752
2	0.6065851879
3	0.5918211172
4	0.5706739358
5	0.5553615891
6	0.5351284949
7	0.5189201432
8	0.508651565
9	0.4988211687
10	0.4908388377
11	0.4806566187
12	0.475341034
13	0.468739892
14	0.463912272
15	0.4611395309
16	0.4559308314
17	0.4498917163
18	0.443609635
19	0.4387930256
20	0.4348369427
21	0.4303651092
22	0.4246932152
23	0.4199657429
24	0.415928102
25	0.4095742223
26	0.4084863484
27	0.4050009579
28	0.4012915388
29	0.3973828262
30	0.3916480226
31	0.3886360457
32	0.3863225417
33	0.3849987396
34	0.3808888168
35	0.3755942765
36	0.372798499
37	0.3680637945
38	0.3624485688
39	0.3620165741
40	0.3595997064
41	0.3568305909
42	0.353457257
43	0.3534038338
44	0.3524156899
45	0.3500150095
46	0.347287586
47	0.3457297156
48	0.3435459745
49	0.3405627253
50	0.3380801823
51	0.3354811943
52	0.3334072667
53	0.3316064777
54	0.3299818312
55	0.3290022803
56	0.3274482544
57	0.3254480739
58	0.3238272798
59	0.3233011776
60	0.3209477255
61	0.319180843
62	0.3184637661
63	0.3167920984
64	0.3150420535
65	0.3126039307
66	0.3121178605
67	0.3103104969
68	0.3089333072
69	0.3068665713
70	0.3041714971
71	0.3030097025
72	0.3015499777
73	0.2993922204
74	0.2980439206
75	0.2963404992
76	0.2952391443
77	0.2937116679
78	0.2922379708
79	0.2904438852
80	0.2883524356
81	0.2871453856
82	0.2844478789
83	0.2844237682
84	0.2817797625
85	0.2800259466
86	0.2784905378
87	0.2773971244
88	0.2754802083
89	0.2747132607
90	0.2731302932
91	0.2724257912
92	0.271281251
93	0.2700977243
94	0.2689741001
95	0.2668545389
96	0.265607883
97	0.2650010522
98	0.2646987907
99	0.2644006177
100	0.2638294951
101	0.263369803
102	0.2616745857
103	0.2602856867
104	0.2598445249
105	0.2597033855
106	0.258083182
107	0.2572624374
108	0.2562201109
109	0.2549845657
110	0.2547895482
111	0.2534473741
112	0.2516213271
113	0.2507543752
114	0.2497426918
115	0.2491837494
116	0.2473624461
117	0.2463225104
118	0.2447992848
119	0.2436489855
120	0.2428663254
121	0.2407053377
122	0.2392995587
123	0.2387036318
124	0.2379225878
125	0.2378963621
126	0.2365948078
127	0.2360214131
128	0.2345478523
129	0.2344511594
130	0.2340466476
131	0.2330091408
132	0.2313317639
133	0.2308190951
134	0.2292336185
135	0.2252285719
136	0.2251846493
137	0.2230341327
138	0.2219053018
139	0.2210872993
140	0.2194476036
141	0.2180703581
142	0.217522424
143	0.2162147759
144	0.2148517863
145	0.2139441569
146	0.2136902531
147	0.2127985733
148	0.2117404843
149	0.2111932166
150	0.2105852281
151	0.2096514042
152	0.2079960794
153	0.2079621059
154	0.2072249407
155	0.206546445
156	0.2063892269
157	0.2060826982
158	0.2044682755
159	0.2026790058
160	0.2026550154
161	0.2023842336
162	0.1998844172
163	0.1995636784
164	0.1994929084
165	0.1979085654
166	0.1971875379
167	0.1961417772
168	0.193976852
169	0.1932631883
170	0.1925323974
171	0.1923725458
172	0.1919261655
173	0.1915513021
174	0.1914183257
175	0.1913260598
176	0.1902758847
177	0.1892871523
178	0.1883513196
179	0.1866796239
180	0.1848939977
181	0.1845360164
182	0.1841560065
183	0.1826116805
184	0.1821097645
185	0.1811513995
186	0.1801860335
187	0.1796404369
188	0.1785647893
189	0.1780653114
190	0.1777366303
191	0.1763746201
192	0.1757747085
193	0.1753645738
194	0.1747223163
195	0.1730367492
196	0.1716329336
197	0.1708268989
198	0.1707860887
199	0.1696054115
200	0.1692832102
201	0.1687507584
202	0.1687287422
203	0.1684407324
204	0.1673180763
205	0.1671007291
206	0.1669140395
207	0.1666054602
208	0.165360682
209	0.1646602254
210	0.1643710471
211	0.1643066162
212	0.1638515289
213	0.1635123215
214	0.1633601751
215	0.1631980161
216	0.1630414897
217	0.1625686205
218	0.1620804846
219	0.1615364221
220	0.1606431016
221	0.1595876866
222	0.1593084125
223	0.158856508
224	0.1579917479
225	0.1578287559
226	0.156576099
227	0.1548031691
228	0.1537126665
229	0.1528967358
230	0.1525719709
231	0.1520994763
232	0.1517419418
233	0.1512060429
234	0.1511510508
235	0.1509692137
236	0.1506436098
237	0.1499215162
238	0.1494021467
239	0.1490990115
240	0.1486687546
241	0.1486554736
242	0.1477254951
243	0.1470917394
244	0.1460945611
245	0.1457318163
246	0.1451026879
247	0.1444162171
248	0.1433573839
249	0.1432400671
250	0.1418355068
251	0.1405948549
252	0.1393426647
253	0.1389926482
254	0.1386026704
255	0.1385215262
256	0.1368077131
257	0.1362416275
258	0.1358724369
259	0.1346006538
260	0.1344586773
261	0.134094215
262	0.1338254943
263	0.1335661809
264	0.1332007038
265	0.1327372551
266	0.132569216
267	0.1323624669
268	0.1320887693
269	0.1313262517
270	0.130986336
271	0.1301615106
272	0.1298023763
273	0.1296049745
274	0.1285811933
275	0.1284870428
276	0.1284151923
277	0.1283321693
278	0.1281115742
279	0.1280838168
280	0.1278141182
281	0.1276772133
282	0.1271221096
283	0.1267896733
284	0.1266873453
285	0.1264121601
286	0.1260050034
287	0.1253377411
288	0.1247024502
289	0.1241108574
290	0.1238583092
291	0.1229721744
292	0.1228374214
293	0.1227714439
294	0.1223173207
295	0.1218700131
296	0.1216001884
297	0.1208054001
298	0.1207813686
299	0.1203768757
300	0.1203254086
301	0.1201170629
302	0.1200730018
303	0.1199491477
304	0.1195261833
305	0.119453076
306	0.1191724091
307	0.1186033306
308	0.1184774646
309	0.1178952093
310	0.11670106
311	0.1164080885
312	0.116041653
313	0.1157204823
314	0.1150687151
315	0.1145651357
316	0.114125249
317	0.1139118286
318	0.1137914852
319	0.1133605813
320	0.1131911097
321	0.112999452
322	0.1127720277
323	0.1113695025
324	0.1110469811
325	0.1093099427
326	0.1092413586
327	0.1090059171
328	0.1087225965
329	0.1085900317
330	0.1080481436
331	0.1075182507
332	0.1070127673
333	0.1065827827
334	0.1065090313
335	0.1055599745
336	0.1052590822
337	0.105149032
338	0.104820372
339	0.1046115029
340	0.1044154416
341	0.1041435762
342	0.103122702
343	0.1026757982
344	0.1021229075
345	0.1012014705
346	0.100936217
347	0.1004291285
348	0.1002277345
349	0.1001206306
350	0.09978690494
351	0.09950554935
352	0.09908307664
353	0.09829198536
354	0.09805647538
355	0.09760412373
356	0.09674978577
357	0.09650104561
358	0.09591012003
359	0.09486595684
360	0.09458559344
361	0.09408244522
362	0.09376737471
363	0.09368222482
364	0.0931962472
365	0.09285123582
366	0.09203165135
367	0.09138514281
368	0.09116622476
369	0.09061858287
370	0.08989820999
371	0.08973237141
372	0.08886371541
373	0.08877188704
374	0.08802667268
375	0.08779841667
376	0.08754234318
377	0.0873651616
378	0.08721708044
379	0.08679474749
380	0.08633955864
381	0.08587177883
382	0.08538597758
383	0.08487398743
384	0.08446693223
385	0.08419386495
386	0.08375024789
387	0.08357011303
388	0.08342527138
389	0.08331193218
390	0.08292478231
391	0.08267211758
392	0.08243553798
393	0.08205655529
394	0.08125551365
395	0.08112662174
396	0.08109193332
397	0.08072252845
398	0.08067736597
399	0.07989648394
400	0.07921728432
401	0.07814432924
402	0.07763555434
403	0.0770245327
404	0.07686387488
405	0.07654120296
406	0.07624163271
407	0.07611326125
408	0.07589268174
409	0.0757197074
410	0.07565976998
411	0.07543032486
412	0.0750957795
413	0.07507222165
414	0.0749669991
415	0.07486084355
416	0.07473012606
417	0.07469740971
418	0.0741407683
419	0.07407569175
420	0.07393176212
421	0.07387298708
422	0.07368282617
423	0.07355360353
424	0.07341561289
425	0.073218374
426	0.07313313698
427	0.07279670206
428	0.07264279212
429	0.07261627292
430	0.07246009687
431	0.07159910363
432	0.07143342145
433	0.07138978303
434	0.07121496196
435	0.07117463247
436	0.07085098243
437	0.07076756778
438	0.07070838821
439	0.0705933158
440	0.07048730466
441	0.07030183205
442	0.07000906943
443	0.06999743935
444	0.06996164842
445	0.06956668243
446	0.06908496972
447	0.0688576437
448	0.06863874367
449	0.06811913562
450	0.06780425255
451	0.06762928199
452	0.06758878128
453	0.0672905502
454	0.06680918004
455	0.06627197068
456	0.06587292368
457	0.06538686534
458	0.06500711471
459	0.06474226002
460	0.06459969154
461	0.06404591403
462	0.06365906598
463	0.06346884981
464	0.06342085128
465	0.06325281859
466	0.063209455
467	0.06307637217
468	0.06269705262
469	0.06244932972
470	0.06224345156
471	0.06216464014
472	0.0621441518
473	0.0618500686
474	0.06177724006
475	0.06166585711
476	0.06165599114
477	0.06143447312
478	0.06138800845
479	0.06110622149
480	0.06094868374
481	0.06092203387
482	0.06082618381
483	0.06024264791
484	0.05993400957
485	0.05981858357
486	0.0594645791
487	0.059311384
488	0.05889174509
489	0.05887499613
490	0.05875615682
491	0.05870392662
492	0.05849718019
493	0.05844398951
494	0.05806095047
495	0.05784468026
496	0.05758755915
497	0.05753509963
498	0.05744256531
499	0.05738921321
500	0.05707633049
501	0.05704511614
502	0.05693758629
503	0.05674568965
504	0.05648196549
505	0.05639194157
506	0.05632971593
507	0.0562103017
508	0.05616091736
509	0.05598036133
510	0.05582873789
511	0.05578730007
512	0.05569453412
513	0.05562492662
514	0.05551470951
515	0.05537096976
516	0.05530464884
517	0.05513366925
518	0.05496712576
519	0.05491983361
520	0.05481280802
521	0.05477286144
522	0.05462300169
523	0.05454345549
524	0.05447635305
525	0.05430352117
526	0.05427673125
527	0.05421670929
528	0.05374722555
529	0.05369266882
530	0.05360637506
531	0.05346698147
532	0.05344876726
533	0.05298830051
534	0.05290160667
535	0.05284728695
536	0.0527822912
537	0.05268203348
538	0.05255509023
539	0.05254916869
540	0.05253283776
541	0.05251647336
542	0.05241832304
543	0.05220128279
544	0.05203473474
545	0.05179538848
546	0.05175844561
547	0.05160722586
548	0.05152307953
549	0.05142513859
550	0.05134732495
551	0.05129940985
552	0.05110093403
553	0.05074017738
554	0.05069304231
555	0.05061108168
556	0.0504670367
557	0.05035800176
