iter	Passed	Remaining
189	67884	110759
190	68264	110437
191	68591	110032
192	68961	109695
193	69299	109307
194	69677	108982
195	70057	108659
196	70454	108364
197	70879	108109
198	71289	107829
199	71678	107517
200	72076	107218
201	72393	106797
202	72761	106454
203	73143	106130
204	73500	105768
205	73860	105412
206	74275	105134
207	74591	104715
208	74989	104411
209	75348	104052
210	75711	103699
211	76064	103332
212	76415	102963
213	76765	102593
214	77145	102262
215	77513	101915
216	77875	101560
217	78224	101189
218	78573	100817
219	78963	100499
220	79349	100174
221	79703	99808
222	80067	99456
223	80446	99121
224	80815	98774
225	81208	98456
226	81640	98184
227	82010	97836
228	82352	97456
229	82817	97221
230	83198	96884
231	83652	96632
232	84069	96337
233	84473	96024
234	84929	95771
235	85276	95394
236	85642	95037
237	86039	94716
238	86392	94344
239	86757	93987
240	87121	93629
241	87479	93263
242	87865	92928
243	88297	92639
244	88656	92275
245	89040	91936
246	89382	91553
247	89742	91189
248	90113	90837
249	90465	90465
250	90797	90074
251	91167	89720
252	92153	89967
253	92492	89579
254	92853	89211
255	93206	88837
256	93587	88489
257	93963	88136
258	94328	87772
259	94647	87366
260	95020	87011
261	95371	86634
262	95727	86264
263	96102	85909
264	96464	85543
265	96801	85156
266	97174	84800
267	97493	84397
268	97875	84049
269	98311	83746
270	98709	83411
271	99112	83079
272	99529	82759
273	99945	82436
274	100330	82088
275	100742	81761
276	101078	81373
277	101507	81059
278	101858	80683
279	102217	80313
280	102600	79962
281	102982	79610
282	103338	79238
283	103739	78900
284	104067	78507
285	104446	78152
286	104825	77797
287	105189	77431
288	105556	77066
289	105909	76693
290	106270	76324
291	106636	75960
292	107040	75622
293	107404	75256
294	107768	74889
295	108144	74532
296	108501	74161
297	108889	73811
298	109245	73439
299	109590	73060
300	109961	72698
301	110308	72321
302	110704	71976
303	111130	71649
304	111508	71292
305	111885	70934
306	112328	70617
307	112707	70259
308	113081	69898
309	113455	69537
310	113791	69153
311	114145	68779
312	114509	68413
313	114856	68035
314	115234	67677
315	115619	67322
316	115986	66957
317	116355	66593
318	116753	66245
319	117098	65868
320	117469	65504
321	117837	65139
322	118177	64760
323	118551	64398
324	118907	64027
325	119272	63661
326	119735	63346
327	120105	62982
328	120431	62595
329	120835	62248
330	121191	61877
331	121564	61514
332	121924	61145
333	122293	60780
334	122622	60396
335	123009	60040
336	123356	59665
337	123741	59308
338	124153	58963
339	124518	58596
340	124853	58216
341	125260	57868
342	125622	57500
343	125984	57132
344	126336	56759
345	126706	56395
346	127048	56018
347	127405	55648
348	127728	55263
349	128096	54898
350	128479	54539
351	128841	54171
352	129177	53793
353	129563	53435
354	129887	53052
355	130259	52689
356	130636	52327
357	131017	51967
358	131361	51593
359	131745	51234
360	132079	50856
361	132452	50492
362	132804	50121
363	133169	49755
364	133537	49390
365	133899	49023
366	134242	48649
367	134630	48291
368	134987	47922
369	135344	47553
370	135704	47185
371	136073	46820
372	136427	46451
373	136797	46086
374	137150	45716
375	137520	45352
376	137888	44987
377	138242	44618
378	138603	44250
379	138977	43887
380	139329	43517
381	139687	43149
382	140044	42781
383	140410	42415
384	140773	42049
385	141145	41685
386	141499	41316
387	141857	40948
388	142203	40577
389	142587	40216
390	142931	39845
391	143310	39483
392	143683	39119
393	144033	38750
394	144390	38382
395	144752	38015
396	145097	37645
397	145483	37284
398	145850	36919
399	146203	36550
400	146554	36181
401	146907	35813
402	147240	35440
403	147615	35077
404	147996	34715
405	148350	34347
406	148690	33975
407	149084	33617
408	149409	33242
409	149792	32881
410	150174	32519
411	150544	32155
412	150895	31786
413	151257	31420
414	151600	31050
415	151974	30687
416	152361	30326
417	152722	29959
418	153057	29588
419	153458	29230
420	153801	28860
421	154185	28498
422	154551	28133
423	154911	27767
424	155370	27418
425	155748	27054
426	156115	26689
427	156485	26324
428	156869	25962
429	157217	25593
430	157604	25231
431	157955	24863
432	158343	24501
433	158780	24146
434	159145	23780
435	159483	23410
436	159907	23052
437	160231	22681
438	160609	22317
439	161015	21956
440	161391	21592
441	161711	21220
442	162125	20860
443	162452	20489
444	162840	20126
445	163220	19762
446	163592	19396
447	163939	19028
448	164339	18666
449	164648	18294
450	165034	17930
451	165410	17565
452	165770	17199
453	166097	16829
454	166500	16467
455	166824	16097
456	167186	15730
457	167595	15369
458	167966	15003
459	168287	14633
460	168700	14271
461	169034	13903
462	169410	13538
463	169811	13175
464	170195	12810
465	170515	12441
466	170933	12078
467	171256	11709
468	171632	11344
469	172013	10979
470	172381	10613
471	172718	10246
472	173143	9883
473	173467	9515
474	173838	9149
475	174223	8784
476	174591	8418
477	174914	8050
478	175340	7687
479	175669	7319
480	176042	6953
481	176426	6588
482	176794	6222
483	177130	5855
484	177532	5490
485	177872	5123
486	178259	4758
487	178644	4392
488	179016	4026
489	179329	3659
490	180342	3305
491	180719	2938
492	181056	2570
493	181461	2203
494	181778	1836
495	182160	1469
496	182543	1101
497	182907	734
498	183227	367
499	183655	0
